time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MyStrategy,3bfff9cc7ed642e09f8d358715febe0b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MyStrategy,3bfff9cc7ed642e09f8d358715febe0b,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 12:30:00-05:00,MyStrategy,fb2fc74ec045439fb747069444f5d56f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 12:30:00-05:00,MyStrategy,fb2fc74ec045439fb747069444f5d56f,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 15:30:00-05:00,MyStrategy,6122f9e721134e0fa720daaae2377959,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 15:30:00-05:00,MyStrategy,6122f9e721134e0fa720daaae2377959,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-03 09:30:00-05:00,MyStrategy,2b908e4eb3ba4fc5afa60460970835ec,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MyStrategy,2b908e4eb3ba4fc5afa60460970835ec,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 12:30:00-05:00,MyStrategy,d7f0b48651124da08943070a38f97cac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 12:30:00-05:00,MyStrategy,d7f0b48651124da08943070a38f97cac,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 15:30:00-05:00,MyStrategy,585ac30ca6dd472f843b8e0fbdfbf657,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 15:30:00-05:00,MyStrategy,585ac30ca6dd472f843b8e0fbdfbf657,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-06 09:30:00-05:00,MyStrategy,4fd55859f2674208acb9032cb3e42549,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,MyStrategy,4fd55859f2674208acb9032cb3e42549,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-06 12:30:00-05:00,MyStrategy,6d95254f5e574bbf921499949bfab855,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 12:30:00-05:00,MyStrategy,6d95254f5e574bbf921499949bfab855,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-06 15:30:00-05:00,MyStrategy,3b56d43bcf494d85b5d52dfb7b9952fc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 15:30:00-05:00,MyStrategy,3b56d43bcf494d85b5d52dfb7b9952fc,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,1.0,0.0
2020-01-07 09:30:00-05:00,MyStrategy,628c99aba1154d3cbe123edc20cf43ea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,MyStrategy,628c99aba1154d3cbe123edc20cf43ea,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,1.0,0.0
2020-01-07 12:30:00-05:00,MyStrategy,c570c292dd7948f5a726f4d5787e53d6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 12:30:00-05:00,MyStrategy,c570c292dd7948f5a726f4d5787e53d6,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,1.0,0.0
2020-01-07 15:30:00-05:00,MyStrategy,c9e3240372fa4b28b0e45438ce379261,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 15:30:00-05:00,MyStrategy,c9e3240372fa4b28b0e45438ce379261,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,1.0,0.0
2020-01-08 09:30:00-05:00,MyStrategy,34f5b9a2147742c4bbf07cf2bf754e08,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,MyStrategy,34f5b9a2147742c4bbf07cf2bf754e08,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,1.0,0.0
2020-01-08 12:30:00-05:00,MyStrategy,db5e39c028a34e38a1cd8b187350151f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 12:30:00-05:00,MyStrategy,db5e39c028a34e38a1cd8b187350151f,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,1.0,0.0
2020-01-08 15:30:00-05:00,MyStrategy,41639d4d48fb4d8ea4537951dcf788d2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 15:30:00-05:00,MyStrategy,41639d4d48fb4d8ea4537951dcf788d2,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,1.0,0.0
2020-01-09 09:30:00-05:00,MyStrategy,eed45d201b5d4cdda2b254c6c81d0a8e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,MyStrategy,eed45d201b5d4cdda2b254c6c81d0a8e,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-09 12:30:00-05:00,MyStrategy,e93b833797d045759002184273f64387,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 12:30:00-05:00,MyStrategy,e93b833797d045759002184273f64387,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-09 15:30:00-05:00,MyStrategy,a4b5ba9f4e9d49e8856bc36194367dcb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 15:30:00-05:00,MyStrategy,a4b5ba9f4e9d49e8856bc36194367dcb,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,1.0,0.0
2020-01-10 09:30:00-05:00,MyStrategy,d83415c3f7b141378c4014b105c34a3e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,MyStrategy,d83415c3f7b141378c4014b105c34a3e,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-10 12:30:00-05:00,MyStrategy,26d4826811e448b5abb59499f9049ac0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 12:30:00-05:00,MyStrategy,26d4826811e448b5abb59499f9049ac0,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
2020-01-10 15:30:00-05:00,MyStrategy,3446e8e588884f5aaef06582f9b0f01e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 15:30:00-05:00,MyStrategy,3446e8e588884f5aaef06582f9b0f01e,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,1.0,0.0
