Metric,SPY,Strategy
Risk-Free Rate,0.06%,0.06%
Time in Market,70.0%,70.0%
,,
Total Return,17%,41%
CAGR% (Annual Return),16.89%,41.82%
,,
Sharpe,0.63,1.45
RoMaD,0.5,2.91
Corr to Benchmark,1.0,0.38
Prob. Sharpe Ratio,72.92%,92.37%
Smart Sharpe,0.62,1.41
Sortino,0.86,2.11
Smart Sortino,0.84,2.07
Sortino/√2,0.61,1.5
Smart Sortino/√2,0.6,1.46
Omega,1.3,1.3
,,
Max Drawdown,-33.68%,-14.35%
Longest DD Days,170,93
Volatility (ann.),33.52%,26.48%
R^2,0.15,0.15
Information Ratio,0.03,0.03
Calmar,0.5,2.91
Skew,-0.67,0.09
Kurtosis,11.72,4.82
,,
Expected Daily%,0.04%,0.1%
Expected Monthly%,1.3%,2.93%
Expected Yearly%,16.74%,41.41%
Daily Value-at-Risk,-2.83%,-2.17%
Expected Shortfall (cVaR),-2.83%,-2.17%
,,
MTD,3.19%,5.98%
3M,12.4%,22.8%
6M,23.21%,39.0%
YTD,16.74%,41.41%
1Y,16.74%,41.41%
3Y (ann.),16.89%,41.82%
5Y (ann.),16.89%,41.82%
10Y (ann.),16.89%,41.82%
All-time (ann.),16.89%,41.82%
,,
Best Day,9.06%,7.28%
Worst Day,-10.94%,-5.09%
Best Month,12.7%,18.84%
Worst Month,-16.07%,-6.69%
Best Year,16.74%,41.41%
Worst Year,16.74%,41.41%
,,
Avg. Drawdown,-2.54%,-2.39%
Avg. Drawdown Days,14,9
Recovery Factor,0.63,2.66
Ulcer Index,0.1,0.05
Serenity Index,0.19,1.13
,,
Avg. Up Month,6.42%,7.84%
Avg. Down Month,-6.28%,-4.23%
Win Days,208.25,214.04
Loss Days,154.75,148.96
Win Days%,57.37%,58.96%
Win Month%,58.33%,66.67%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.3
Alpha,-,0.32
Correlation,-,38.17%
Treynor Ratio,-,137.12%
