time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MyStrategy,cd6654a829754feda8eaf9dc23e561e3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MyStrategy,cd6654a829754feda8eaf9dc23e561e3,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 12:30:00-05:00,MyStrategy,3f33d372de3340c8af6de1af9cd9844c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 12:30:00-05:00,MyStrategy,3f33d372de3340c8af6de1af9cd9844c,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-02 15:30:00-05:00,MyStrategy,cb742bc926e1407ca74e15ed8047298d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 15:30:00-05:00,MyStrategy,cb742bc926e1407ca74e15ed8047298d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,1.0,0.0
2020-01-03 09:30:00-05:00,MyStrategy,0cca072dd410417c9d528b835dcd5771,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MyStrategy,0cca072dd410417c9d528b835dcd5771,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 12:30:00-05:00,MyStrategy,fc4a407e1cbc413db5647c1f5d3c345a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 12:30:00-05:00,MyStrategy,fc4a407e1cbc413db5647c1f5d3c345a,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
2020-01-03 15:30:00-05:00,MyStrategy,ac838e2caa55472884d4e41519cb8239,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 15:30:00-05:00,MyStrategy,ac838e2caa55472884d4e41519cb8239,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,1.0,0.0
