time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,MyStrategy,b2921a7214b84159b5ad20a2cea31b0a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,MyStrategy,b2921a7214b84159b5ad20a2cea31b0a,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-02 12:30:00-05:00,MyStrategy,7cb7a79ee8f44a9badabbc1f27df6153,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 12:30:00-05:00,MyStrategy,7cb7a79ee8f44a9badabbc1f27df6153,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-02 15:30:00-05:00,MyStrategy,c7482f0cc5834e8f84437af390c15d4a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 15:30:00-05:00,MyStrategy,c7482f0cc5834e8f84437af390c15d4a,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-03 09:30:00-05:00,MyStrategy,9ca4c44dc7b6429b93343798eb53f2c9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 09:30:00-05:00,MyStrategy,9ca4c44dc7b6429b93343798eb53f2c9,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-03 12:30:00-05:00,MyStrategy,0614d89555a74f179715e7ecc4a5f45a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 12:30:00-05:00,MyStrategy,0614d89555a74f179715e7ecc4a5f45a,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-03 15:30:00-05:00,MyStrategy,9902ac2de16443bb9b73231b865a6927,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 15:30:00-05:00,MyStrategy,9902ac2de16443bb9b73231b865a6927,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-04 09:30:00-05:00,MyStrategy,2980f78cc4404259ac48fa7338bb1f41,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 09:30:00-05:00,MyStrategy,2980f78cc4404259ac48fa7338bb1f41,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-04 12:30:00-05:00,MyStrategy,6a78906582c64bba88ece9f9995dd512,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 12:30:00-05:00,MyStrategy,6a78906582c64bba88ece9f9995dd512,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-04 15:30:00-05:00,MyStrategy,bdc8eb1198b543799d0b26d68358c40e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 15:30:00-05:00,MyStrategy,bdc8eb1198b543799d0b26d68358c40e,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-05 09:30:00-05:00,MyStrategy,0184fbcf26d44391a7bf87b74fc4634d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 09:30:00-05:00,MyStrategy,0184fbcf26d44391a7bf87b74fc4634d,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,1.0,0.0
2024-01-05 12:30:00-05:00,MyStrategy,b39a48c27b624c049a1d4f15c638c082,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 12:30:00-05:00,MyStrategy,b39a48c27b624c049a1d4f15c638c082,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,1.0,0.0
