time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,MyStrategy,dac765bfe7df44969d366204bf9b0d88,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,MyStrategy,dac765bfe7df44969d366204bf9b0d88,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-02 12:30:00-05:00,MyStrategy,6f0f72b1e46c4856aed92723aba6e773,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 12:30:00-05:00,MyStrategy,6f0f72b1e46c4856aed92723aba6e773,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-02 15:30:00-05:00,MyStrategy,8837fc7e1bcf487fbf5c8cd72e4bb219,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 15:30:00-05:00,MyStrategy,8837fc7e1bcf487fbf5c8cd72e4bb219,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-03 09:30:00-05:00,MyStrategy,7e4c3da9a02b4f428dbcf33b88f15873,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 09:30:00-05:00,MyStrategy,7e4c3da9a02b4f428dbcf33b88f15873,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
2024-01-03 12:30:00-05:00,MyStrategy,223d1170d5974f2d8d4799125f16dbd3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 12:30:00-05:00,MyStrategy,223d1170d5974f2d8d4799125f16dbd3,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
2024-01-03 15:30:00-05:00,MyStrategy,87b94b0f9fbd4079afdaa0a80c5fed58,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 15:30:00-05:00,MyStrategy,87b94b0f9fbd4079afdaa0a80c5fed58,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
