time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,MyStrategy,f45c6f8a135d453f8a182a0a53198ac7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,MyStrategy,f45c6f8a135d453f8a182a0a53198ac7,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-02 12:30:00-05:00,MyStrategy,843abc817ed14a998c18c91aa6ca8bb6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 12:30:00-05:00,MyStrategy,843abc817ed14a998c18c91aa6ca8bb6,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-02 15:30:00-05:00,MyStrategy,b6f69169e2ee408aa31c7e18f2a7b2eb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 15:30:00-05:00,MyStrategy,b6f69169e2ee408aa31c7e18f2a7b2eb,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,100.0,0.0
2024-01-03 09:30:00-05:00,MyStrategy,426ed036e18646419f3a25e6b58e7c4a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 09:30:00-05:00,MyStrategy,426ed036e18646419f3a25e6b58e7c4a,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
2024-01-03 12:30:00-05:00,MyStrategy,4f9046ba4a8e4264bd53d31c4eac0808,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 12:30:00-05:00,MyStrategy,4f9046ba4a8e4264bd53d31c4eac0808,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
2024-01-03 15:30:00-05:00,MyStrategy,e0adcb57298a42b1b8c7a14f06287af0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 15:30:00-05:00,MyStrategy,e0adcb57298a42b1b8c7a14f06287af0,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,100.0,0.0
2024-01-04 09:30:00-05:00,MyStrategy,838ada52e4a240639df34b2457462677,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 09:30:00-05:00,MyStrategy,838ada52e4a240639df34b2457462677,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,100.0,0.0
2024-01-04 12:30:00-05:00,MyStrategy,9a04f48a6e6e48de9466d1ee4954effa,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 12:30:00-05:00,MyStrategy,9a04f48a6e6e48de9466d1ee4954effa,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,100.0,0.0
2024-01-04 15:30:00-05:00,MyStrategy,23a506c8455a4566ba537a89a65d47f6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 15:30:00-05:00,MyStrategy,23a506c8455a4566ba537a89a65d47f6,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,100.0,0.0
2024-01-05 09:30:00-05:00,MyStrategy,b008cce2f8154e768ac321ef8a6baff1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 09:30:00-05:00,MyStrategy,b008cce2f8154e768ac321ef8a6baff1,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,100.0,0.0
2024-01-05 12:30:00-05:00,MyStrategy,1a0cf09184a4442f8fa5eb1ef3ed1e23,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 12:30:00-05:00,MyStrategy,1a0cf09184a4442f8fa5eb1ef3ed1e23,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,100.0,0.0
2024-01-05 15:30:00-05:00,MyStrategy,1052aa0c2d0d4c6fb03b090338afeced,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 15:30:00-05:00,MyStrategy,1052aa0c2d0d4c6fb03b090338afeced,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,100.0,0.0
2024-01-08 09:30:00-05:00,MyStrategy,59f596109d1c4a928f179f73a1aae7af,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,MyStrategy,59f596109d1c4a928f179f73a1aae7af,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.42999267578125,100.0,0.0
2024-01-08 12:30:00-05:00,MyStrategy,eb8f3613f2a74595aa13c4f814860e8e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 12:30:00-05:00,MyStrategy,eb8f3613f2a74595aa13c4f814860e8e,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.42999267578125,100.0,0.0
2024-01-08 15:30:00-05:00,MyStrategy,c0c19ecb6c9249d495b4b9cc7205be57,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 15:30:00-05:00,MyStrategy,c0c19ecb6c9249d495b4b9cc7205be57,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.42999267578125,100.0,0.0
2024-01-09 09:30:00-05:00,MyStrategy,79fbc9dabd274a2588578eb7327b3333,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-09 09:30:00-05:00,MyStrategy,79fbc9dabd274a2588578eb7327b3333,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.8699951171875,100.0,0.0
2024-01-09 12:30:00-05:00,MyStrategy,cf9291c3abca47f19307bc4f29b7de7e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-09 12:30:00-05:00,MyStrategy,cf9291c3abca47f19307bc4f29b7de7e,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.8699951171875,100.0,0.0
2024-01-09 15:30:00-05:00,MyStrategy,c702ea4256cb49c9b2ee9436372d62e7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-09 15:30:00-05:00,MyStrategy,c702ea4256cb49c9b2ee9436372d62e7,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.8699951171875,100.0,0.0
2024-01-10 09:30:00-05:00,MyStrategy,57fff9fb624e4eb6801469622542f98a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,MyStrategy,57fff9fb624e4eb6801469622542f98a,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,100.0,0.0
2024-01-10 12:30:00-05:00,MyStrategy,5e0cb119062f4b99b2812a136ee52075,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 12:30:00-05:00,MyStrategy,5e0cb119062f4b99b2812a136ee52075,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,100.0,0.0
2024-01-10 15:30:00-05:00,MyStrategy,df0d8977035a44a49b0fd025721066ee,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 15:30:00-05:00,MyStrategy,df0d8977035a44a49b0fd025721066ee,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.1600036621094,100.0,0.0
2024-01-11 09:30:00-05:00,MyStrategy,235217b15c9b4c5dbe4d98d4c81af615,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 09:30:00-05:00,MyStrategy,235217b15c9b4c5dbe4d98d4c81af615,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,100.0,0.0
2024-01-11 12:30:00-05:00,MyStrategy,a2fa6fefb4ad44598a5d1ba3e0c7ddbd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 12:30:00-05:00,MyStrategy,a2fa6fefb4ad44598a5d1ba3e0c7ddbd,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,100.0,0.0
2024-01-11 15:30:00-05:00,MyStrategy,47d07a033c774807bc3cfb6fb60b7f57,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-11 15:30:00-05:00,MyStrategy,47d07a033c774807bc3cfb6fb60b7f57,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.5899963378906,100.0,0.0
2024-01-12 09:30:00-05:00,MyStrategy,ba47b87ce64b450996bf8925f9d4c252,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 09:30:00-05:00,MyStrategy,ba47b87ce64b450996bf8925f9d4c252,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,100.0,0.0
2024-01-12 12:30:00-05:00,MyStrategy,79eb08cf417948f8bf4176c1058800c6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 12:30:00-05:00,MyStrategy,79eb08cf417948f8bf4176c1058800c6,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,100.0,0.0
2024-01-12 15:30:00-05:00,MyStrategy,6d9c1c1dee464e78b7823f4c2c6fcb4d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-12 15:30:00-05:00,MyStrategy,6d9c1c1dee464e78b7823f4c2c6fcb4d,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.8399963378906,100.0,0.0
2024-01-16 09:30:00-05:00,MyStrategy,e3b5a0f33398497586cded2d40b0fbbc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,MyStrategy,e3b5a0f33398497586cded2d40b0fbbc,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,100.0,0.0
2024-01-16 12:30:00-05:00,MyStrategy,922b7dbfca9540ab95fe76505273cd18,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 12:30:00-05:00,MyStrategy,922b7dbfca9540ab95fe76505273cd18,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,100.0,0.0
2024-01-16 15:30:00-05:00,MyStrategy,d49cddddeac4438987789e12c1ed4ffa,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 15:30:00-05:00,MyStrategy,d49cddddeac4438987789e12c1ed4ffa,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,100.0,0.0
2024-01-17 09:30:00-05:00,MyStrategy,c4525317b9ab445782c1d6d00c346978,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,MyStrategy,c4525317b9ab445782c1d6d00c346978,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,100.0,0.0
2024-01-17 12:30:00-05:00,MyStrategy,8a55a086f73a40baadd239630c215eee,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 12:30:00-05:00,MyStrategy,8a55a086f73a40baadd239630c215eee,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,100.0,0.0
2024-01-17 15:30:00-05:00,MyStrategy,b17b4e0aa5c84e95b93e4a6f7dadc12a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 15:30:00-05:00,MyStrategy,b17b4e0aa5c84e95b93e4a6f7dadc12a,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,100.0,0.0
2024-01-18 09:30:00-05:00,MyStrategy,d3178c740b3f45b4bcc7e0d9c23bc6cd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 09:30:00-05:00,MyStrategy,d3178c740b3f45b4bcc7e0d9c23bc6cd,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,100.0,0.0
2024-01-18 12:30:00-05:00,MyStrategy,e071cada3798477d9b26ed7ad00ee850,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
