time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,MyStrategy,381cd54a1c754c0c8bbd1f86b27f72b5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,MyStrategy,381cd54a1c754c0c8bbd1f86b27f72b5,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-02 12:30:00-05:00,MyStrategy,bf2aa749021740a7a935d3d9320493e1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 12:30:00-05:00,MyStrategy,bf2aa749021740a7a935d3d9320493e1,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-02 15:30:00-05:00,MyStrategy,2f5aa449c89a4e4e9ca2f1355e38de6d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 15:30:00-05:00,MyStrategy,2f5aa449c89a4e4e9ca2f1355e38de6d,SPY,buy,market,fill,1,gtc,0.0,1,stock,472.1600036621094,1.0,0.0
2024-01-03 09:30:00-05:00,MyStrategy,c7b4689731d24ecabeefe3ff2b76a5b9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 09:30:00-05:00,MyStrategy,c7b4689731d24ecabeefe3ff2b76a5b9,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-03 12:30:00-05:00,MyStrategy,958f5613debc43c0b09a766a0186cd02,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 12:30:00-05:00,MyStrategy,958f5613debc43c0b09a766a0186cd02,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-03 15:30:00-05:00,MyStrategy,f7b6eae045664852830c82d4f9f6d0ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-03 15:30:00-05:00,MyStrategy,f7b6eae045664852830c82d4f9f6d0ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,470.42999267578125,1.0,0.0
2024-01-04 09:30:00-05:00,MyStrategy,fb2dd4da361a4c1e86c32d7bf2aea238,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 09:30:00-05:00,MyStrategy,fb2dd4da361a4c1e86c32d7bf2aea238,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-04 12:30:00-05:00,MyStrategy,a9bba97c0f774aa6b36fec9b27772035,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 12:30:00-05:00,MyStrategy,a9bba97c0f774aa6b36fec9b27772035,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-04 15:30:00-05:00,MyStrategy,afddd5efad0943768cae79be9e487f23,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-04 15:30:00-05:00,MyStrategy,afddd5efad0943768cae79be9e487f23,SPY,buy,market,fill,1,gtc,0.0,1,stock,468.29998779296875,1.0,0.0
2024-01-05 09:30:00-05:00,MyStrategy,9fadfbf5542546a4b14ac5df3171fbf8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-05 09:30:00-05:00,MyStrategy,9fadfbf5542546a4b14ac5df3171fbf8,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.489990234375,1.0,0.0
